company,location,laid off,date,percentage,industry,stage,Raised--$,country
stripe,SF Bay area,50,8/19/2022,,finance,series H,2300,us
New relic,SF Bay area,,8/18/2022,5,infrastructure,IPO,214,us
thirty Madisom,new york city,110,8/18/2022,10,healthcare,series C,209,us
malwarebytes,SF Bay area,125,8/17/2022,14,security,series B,80,us
swyftx,brisbane,74,8/17/2022,21,crypto,unknown,,australia
Tempo automation,SF Bay area,54,8/17/2022,,other,series C,74,us
genesis,new york city,52,8/17/2022,20,crypto,series A,,us
warren,porto alegre,50,8/17/2022,,finance,series C,104,brazil
alayacare,montreal,80,8/16/2022,14,healthcare,series D,293,canada
piliops,tel aviv,12,8/16/2022,9,data,series D,205,israel
woven ,indianapolis,5,8/16/2022,15,HR,series A,11,us
crypto.com,singapore,,8/16/2022,,crypto,unknown,156,us
edmodo,SF Bay area,,8/16/2022,100,Education,acquired,77,us
updater,new york city,,8/16/2022,,other,unknown,467,us
sema4,stamford,250,8/15/2022,13,healthcare,IPO,791,us
blend,SF Bay area,220,8/15/2022,12,finance,IPO,665,us
contrafect,new york city,16,8/15/2022,37,healthcare,IPO,380,us
threadup,chicago,,8/15/2022,15,Retail,IPO,305,us
anywell,tel aviv,11,8/14/2022,,Real-estate,series A,15,israel
almanac,SF Bay area,,8/13/2022,,other,series A,45,us
peloton,new york city,784,08-12-2022,13,fitness,IPO,1900,us
core scientific,austin,,08-12-2022,10,crypto,IPO,169,us
orbit,SF Bay area,,08-12-2022,,other,series A,20,us
truepill,SF Bay area,175,08-11-2022,33,healthcare,series D,255,us
calm,SF Bay area,90,08-11-2022,20,healthcare,series C,218,us
marketforce,nairobi,54,08-11-2022,9,Retail,series A,42,kenya
bettefly,santiago,30,08-11-2022,,healthcare,series C,204,chile
expert360,sydney,7,08-11-2022,,Recruiting,series C,26,australia
guidewire,SF Bay area,,08-11-2022,2,finance,IPO,24,us
permutive,london,30,08-10-2022,12,Marketing,series C,105,uk
homeward,austin,,08-10-2022,20,Real-estate,series B,160,us
pollen ,london,,08-10-2022,100,Marketing,series C,238,uk
vedanta bioscience,boston,,08-10-2022,20,healthcare,series D,301,us
gohealth,chicago,800,08-09-2022,20,healthcare,IPO,75,us
hoostsuite,vancouver,400,08-09-2022,30,Marketing,series C,300,canada
nutanix,SF Bay area,270,08-09-2022,4,infrastructure,IPO,1100,us
wix,tel aviv,100,08-09-2022,,Marketing,IPO,58,israel
madeira,curitiba,60,08-09-2022,3,Retail,series E,338,brazil
melio,new york city,60,08-09-2022,,finance,series D,504,us
linktree,melbourne,50,08-09-2022,17,consumer,unknown,165,australia
shogun,SF Bay area,48,08-09-2022,30,Retail,series C,114,us
absci,vancouver,40,08-09-2022,,healthcare,IPO,237,us
dooly,vancouver,12,08-09-2022,,sales,series B,102,canada
berkeley lights,SF Bay area,,08-09-2022,12,healthcare,IPO,272,us
dailypay,new york city,,08-09-2022,15,finance,unknown,814,us
haus,SF Bay area,,08-09-2022,100,food,seed,7,us
kaltura,new york city,,08-09-2022,10,media,IPO,166,us
shift,SF Bay area,,08-09-2022,,transport,IPO,504,us
sweetgreen,los angeles,,08-09-2022,,food,IPO,478,us
groupon,chicago,500,08-08-2022,15,Retail,IPO,1400,us
loggi,sao paulo,500,08-08-2022,15,logistics,series F,507,brazil
vroom,new york city,337,08-08-2022,,transport,IPO,1300,us
warby parker,new york city,69,08-08-2022,,consumer,IPO,535,us
labelbox,SF Bay area,36,08-08-2022,,data,series D,188,us
perion,tel aviv,20,08-08-2022,5,Marketing,IPO,76,israel
daily harvest,new york city,,08-08-2022,15,food,series D,120,us
datarobot,boston,,08-08-2022,,data,series G,1000,us
iRobot,boston,140,08-05-2022,10,consumer,acquired,30,us
RenoRun,montreal,70,08-05-2022,12,construction,series B,163,canada
mejuri,toronot,50,08-05-2022,10,Retail,series B,28,canada
uberflip,toronot,31,08-05-2022,17,Marketing,series A,42,canada
talkdesk,SF Bay area,,08-05-2022,,support,series D,497,us
article,vancouver,216,08-04-2022,17,Retail,series B,,canada
jam city,los angeles,200,08-04-2022,17,consumer,unknown,652,us
10x genomics,SF Bay area,100,08-04-2022,6,healthcare,IPO,242,us
lead,mumbai,80,08-04-2022,4,Education,series E,166,india
zendeslk,SF Bay area,80,08-04-2022,,support,acquired,85,us
on deck,SF Bay area,73,08-04-2022,33,Education,series A,20,us
RenoRun,montreal,70,08-04-2022,12,construction,series B,163,canada
Ring central,SF Bay area,50,08-04-2022,,support,IPO,44,us
doma,SF Bay area,,08-04-2022,13,finance,IPO,679,us
medly,new york city,,08-04-2022,16,healthcare,series C,100,us
