Job_id,Job Title,Rating,Company_id,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Easy Apply,Min_Salary,Max_Salary,Avg_Salary,State_id,City,State,Headquarter
0,Business Analyst - Clinical & Logistics Platform,3.9,0,Memorial Sloan-Kettering,10000+ employees,1884.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2  5  ,0.0,56000.0,102000.0,79000.0,0,New York,NY,NY
2,Data Analyst,3.6,2,Asembia,501 to 1000 employees,2004.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,5  10  ,0.0,56000.0,102000.0,79000.0,2,Florham Park,NJ,NJ
3,"Information Security Analyst, Incident Response",3.6,3,BD,10000+ employees,1897.0,Company - Public,Health Care Products Manufacturing,Manufacturing,10  ,0.0,56000.0,102000.0,79000.0,3,Franklin Lakes,NJ,NJ
4,Analyst - FP&A Global Revenue,3.4,4,Rubicon Project,201 to 500 employees,2007.0,Company - Public,Internet,Information Technology,100  500  ,1.0,56000.0,102000.0,79000.0,4,New York,NY,CA
6,Investment Analyst - Graduate,3.8,6,Swiss Re,10000+ employees,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,10  ,0.0,56000.0,102000.0,79000.0,6,New York,NY,Switzerland
7,IT Business Process Analysis,3.8,7,Bristol-Myers Squibb,10000+ employees,1858.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10  ,0.0,56000.0,102000.0,79000.0,7,Jersey City,NJ,NY
8,Tolling Business Analyst,4.2,8,Gannett Fleming,1001 to 5000 employees,1915.0,Company - Private,Architectural & Engineering Services,Business Services,100  500  ,0.0,56000.0,102000.0,79000.0,8,New York,NY,PA
12,"Senior Analyst, Business Intelligence (Looker BI)",4.1,12,CB Insights,201 to 500 employees,2009.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,25  50  ,0.0,56000.0,102000.0,79000.0,12,New York,NY,NY
13,Business Systems Analyst,3.6,13,Amplify,201 to 500 employees,2010.0,Company - Private,K-12 Education,Education,100  500  ,0.0,56000.0,102000.0,79000.0,13,Brooklyn,NY,NY
14,Business Analyst,4.2,14,Efficio,201 to 500 employees,2000.0,Company - Private,Consulting,Business Services,50  100  ,0.0,56000.0,102000.0,79000.0,14,New York,NY,United Kingdom
16,Municipal Structured Products Analyst,3.7,16,Mesirow Financial,501 to 1000 employees,1937.0,Company - Private,Investment Banking & Asset Management,Finance,100  500  ,0.0,56000.0,102000.0,79000.0,16,New York,NY,IL
17,Senior Business Analyst,3.8,17,Visiting Nurse Service of New York,10000+ employees,1893.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2  5  ,0.0,56000.0,102000.0,79000.0,17,New York,NY,NY
18,Business Analyst,3.8,18,NYSTEC,51 to 200 employees,1996.0,Nonprofit Organization,Consulting,Business Services,25  50  ,0.0,56000.0,102000.0,79000.0,18,New York,NY,NY
20,Business Analyst - CRM,3.6,20,Jefferies Financial Group Inc.,1001 to 5000 employees,1962.0,Company - Public,Investment Banking & Asset Management,Finance,2  5  ,0.0,56000.0,102000.0,79000.0,20,New York,NY,NY
21,Senior FP&A Analyst,4.2,21,Payoneer,1001 to 5000 employees,2005.0,Company - Private,Lending,Finance,100  500  ,1.0,56000.0,102000.0,79000.0,21,New York,NY,NY
22,Business Analyst,3.8,22,NBC Universal,10000+ employees,1906.0,Company - Public,TV Broadcast & Cable Networks,Media,10  ,0.0,56000.0,102000.0,79000.0,22,New York,NY,NY
23,Business Solutions Analyst,4.7,23,TEEMA,201 to 500 employees,2008.0,Company - Private,Staffing & Outsourcing,Business Services,50  100  ,0.0,56000.0,102000.0,79000.0,23,New York,NY,AZ
24,Data Analyst,4.0,24,DMGT,5001 to 10000 employees,1896.0,Company - Public,Venture Capital & Private Equity,Finance,1  2  ,0.0,56000.0,102000.0,79000.0,24,New York,NY,United Kingdom
25,Operations Regulatory Control Change Lead Business Analyst - Vice President,3.7,25,Citi,10000+ employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,10  ,0.0,56000.0,102000.0,79000.0,25,New York,NY,NY
28,KYC Business System Analyst,3.1,28,MUFG,10000+ employees,1864.0,Company - Public,Banks & Credit Unions,Finance,10  ,0.0,56000.0,102000.0,79000.0,28,Jersey City,NJ,Japan
29,Business Analyst,3.2,29,iHeartRadio,10000+ employees,1972.0,Company - Public,Radio,Media,5  10  ,1.0,56000.0,102000.0,79000.0,29,New York,NY,TX
31,Business Analyst,5.0,31,Crossfire Consulting Corporation,51 to 200 employees,0.0,Company - Private,Consulting,Business Services,5  10  ,0.0,55000.0,78000.0,66500.0,31,New York,NY,NY
32,Business Analyst,3.5,32,Russell Tobin & Associates,51 to 200 employees,2010.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,10  25  ,0.0,55000.0,78000.0,66500.0,32,Jersey City,NJ,NY
33,Business Analyst / Project Manager,4.2,33,Computer Resources of America,1 to 50 employees,1992.0,Company - Private,IT Services,Information Technology,500   1  ,0.0,55000.0,78000.0,66500.0,33,New York,NY,NY
35,Business Analyst,3.6,35,Nasdaq,1001 to 5000 employees,1971.0,Company - Public,Stock Exchanges,Finance,2  5  ,0.0,55000.0,78000.0,66500.0,35,New York,NY,NY
37,Business Analyst,3.8,37,LanceSoft Inc,1001 to 5000 employees,2000.0,Company - Private,Staffing & Outsourcing,Business Services,100  500  ,0.0,55000.0,78000.0,66500.0,37,New York,NY,VA
40,BSA Analyst III,3.0,40,The Provident Bank,501 to 1000 employees,1839.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,100  500  ,0.0,55000.0,78000.0,66500.0,40,Iselin,NJ,NJ
41,Business Analysis,3.9,41,JPMorgan Chase,10000+ employees,1799.0,Company - Public,Investment Banking & Asset Management,Finance,10  ,0.0,55000.0,78000.0,66500.0,41,New York,NY,NY
42,Business Analyst,3.8,42,Barclays,10000+ employees,1690.0,Company - Public,Banks & Credit Unions,Finance,10  ,0.0,55000.0,78000.0,66500.0,42,Whippany,NJ,United Kingdom
43,Business Analyst,3.5,43,Riskcare,51 to 200 employees,1994.0,Company - Private,Consulting,Business Services,5  10  ,0.0,55000.0,78000.0,66500.0,43,New York,NY,United Kingdom
44,Business Analyst - Contract,3.4,44,Atlantic Partners,1 to 50 employees,0.0,Company - Private,Brokerage Services,Finance,5  10  ,0.0,55000.0,78000.0,66500.0,44,New York,NY,FL
46,Business Analyst,4.2,46,CyberCoders,201 to 500 employees,1999.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,100  500  ,0.0,55000.0,78000.0,66500.0,46,New York,NY,CA
47,Business Analyst,4.4,47,Black Systems LLC,201 to 500 employees,2007.0,Company - Private,Computer Hardware & Software,Information Technology,25  50  ,0.0,55000.0,78000.0,66500.0,47,New York,NY,CA
49,Radiology Systems Analyst,3.9,49,Memorial Sloan-Kettering,10000+ employees,1884.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,2  5  ,0.0,55000.0,78000.0,66500.0,49,New York,NY,NY
51,Business Analyst,3.4,51,"Marsh & McLennan Companies, Inc.",10000+ employees,1871.0,Company - Public,Insurance Agencies & Brokerages,Insurance,10  ,0.0,55000.0,78000.0,66500.0,51,Hoboken,NJ,NY
52,Business Analyst,4.0,52,XDuce,1 to 50 employees,2006.0,Company - Private,IT Services,Information Technology,1  5  ,0.0,55000.0,78000.0,66500.0,52,New York,NY,NJ
53,Business Analyst,3.7,53,Citi,10000+ employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,10  ,0.0,55000.0,78000.0,66500.0,53,New York,NY,NY
56,Business Analyst,3.6,56,UBS,10000+ employees,1862.0,Company - Public,Investment Banking & Asset Management,Finance,10  ,0.0,55000.0,78000.0,66500.0,56,Weehawken,NJ,Switzerland
57,Application Systems Engineer 4 - Insight Analyst and Reporting,3.6,57,Wells Fargo,10000+ employees,1852.0,Company - Public,Banks & Credit Unions,Finance,10  ,0.0,55000.0,78000.0,66500.0,57,New York,NY,CA
59,Market Research & Insights Analyst - Healthline,3.5,59,Healthline Media,201 to 500 employees,2006.0,Company - Private,News Outlet,Media,50  100  ,0.0,81000.0,159000.0,120000.0,59,New York,NY,CA
60,Business Analyst,2.7,60,Paris Baguette,1001 to 5000 employees,1986.0,Company - Private,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",50  100  ,0.0,81000.0,159000.0,120000.0,60,Moonachie,NJ,CA
62,Business Analyst,4.3,62,Zealogics.com,201 to 500 employees,2012.0,Company - Private,IT Services,Information Technology,10  25  ,0.0,81000.0,159000.0,120000.0,62,New York,NY,NJ
63,TGS Central Teams Business Partner - Supply Chain Planning Lead,3.6,63,BD,10000+ employees,1897.0,Company - Public,Health Care Products Manufacturing,Manufacturing,10  ,0.0,81000.0,159000.0,120000.0,63,Franklin Lakes,NJ,NJ
66,Business Analyst,3.9,66,JPMorgan Chase,10000+ employees,1799.0,Company - Public,Investment Banking & Asset Management,Finance,10  ,0.0,81000.0,159000.0,120000.0,66,Jersey City,NJ,NY
67,Business Analyst,4.7,67,Sharpedge Solutions Inc,Unknown,0.0,Company - Private,Publishing,Media, 1  ,0.0,81000.0,159000.0,120000.0,67,Jersey City,NJ,IL
68,Business Analyst,3.7,68,Munich Re,5001 to 10000 employees,1880.0,Company - Public,Insurance Carriers,Insurance,10  ,0.0,81000.0,159000.0,120000.0,68,New York,NY,Germany
70,Business Analyst,3.0,70,"The Connors Group, Inc.",1 to 50 employees,0.0,Company - Private,Investment Banking & Asset Management,Finance,1  5  ,0.0,81000.0,159000.0,120000.0,70,New York,NY,NJ
71,Business Analyst,3.7,71,MassMutual,5001 to 10000 employees,1851.0,Company - Private,Insurance Carriers,Insurance,10  ,0.0,81000.0,159000.0,120000.0,71,New York,NY,MA
72,Business Analyst,4.4,72,Softcom Systems,1 to 50 employees,0.0,Company - Private,IT Services,Information Technology,1  5  ,0.0,81000.0,159000.0,120000.0,72,Weehawken,NJ,NJ
73,Epic Certified Revenue Cycle Analyst,4.7,73,Dynamic Computing Services,51 to 200 employees,1990.0,Company - Private,IT Services,Information Technology,10  25  ,1.0,81000.0,159000.0,120000.0,73,New York,NY,TX
75,Business Analyst,3.6,75,Signature Consultants,1001 to 5000 employees,1997.0,Company - Private,Staffing & Outsourcing,Business Services,100  500  ,1.0,81000.0,159000.0,120000.0,75,Jersey City,NJ,FL
77,"Salesforce Business Systems Analyst, Advertising",3.9,77,Roku,1001 to 5000 employees,2002.0,Company - Public,IT Services,Information Technology,500   1  ,0.0,81000.0,159000.0,120000.0,77,New York,NY,CA
79,Business Analyst,3.8,79,United IT Solutions,1 to 50 employees,2010.0,Company - Private,Consulting,Business Services,1  5  ,0.0,81000.0,159000.0,120000.0,79,New York,NY,TX
