Company_id,State_id,Company Name,Rating,Size,Founded,Type of ownership,Industry,Sector,Revenue,Headquarter
0,0,Memorial Sloan-Kettering,3.9,10000+ employees,1884.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,3500000000.0,NY
2,2,Asembia,3.6,501 to 1000 employees,2004.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,7500000.0,NJ
3,3,BD,3.6,10000+ employees,1897.0,Company - Public,Health Care Products Manufacturing,Manufacturing,10000000000.0,NJ
4,4,Rubicon Project,3.4,201 to 500 employees,2007.0,Company - Public,Internet,Information Technology,300000000.0,CA
6,6,Swiss Re,3.8,10000+ employees,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,10000000000.0,Switzerland
7,7,Bristol-Myers Squibb,3.8,10000+ employees,1858.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10000000000.0,NY
8,8,Gannett Fleming,4.2,1001 to 5000 employees,1915.0,Company - Private,Architectural & Engineering Services,Business Services,300000000.0,PA
12,12,CB Insights,4.1,201 to 500 employees,2009.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,37500000.0,NY
13,13,Amplify,3.6,201 to 500 employees,2010.0,Company - Private,K-12 Education,Education,300000000.0,NY
14,14,Efficio,4.2,201 to 500 employees,2000.0,Company - Private,Consulting,Business Services,75000000.0,United Kingdom
16,16,Mesirow Financial,3.7,501 to 1000 employees,1937.0,Company - Private,Investment Banking & Asset Management,Finance,300000000.0,IL
17,17,Visiting Nurse Service of New York,3.8,10000+ employees,1893.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,3500000000.0,NY
18,18,NYSTEC,3.8,51 to 200 employees,1996.0,Nonprofit Organization,Consulting,Business Services,37500000.0,NY
20,20,Jefferies Financial Group Inc.,3.6,1001 to 5000 employees,1962.0,Company - Public,Investment Banking & Asset Management,Finance,3500000000.0,NY
21,21,Payoneer,4.2,1001 to 5000 employees,2005.0,Company - Private,Lending,Finance,300000000.0,NY
22,22,NBC Universal,3.8,10000+ employees,1906.0,Company - Public,TV Broadcast & Cable Networks,Media,10000000000.0,NY
23,23,TEEMA,4.7,201 to 500 employees,2008.0,Company - Private,Staffing & Outsourcing,Business Services,75000000.0,AZ
24,24,DMGT,4.0,5001 to 10000 employees,1896.0,Company - Public,Venture Capital & Private Equity,Finance,1500000000.0,United Kingdom
25,25,Citi,3.7,10000+ employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,10000000000.0,NY
28,28,MUFG,3.1,10000+ employees,1864.0,Company - Public,Banks & Credit Unions,Finance,10000000000.0,Japan
29,29,iHeartRadio,3.2,10000+ employees,1972.0,Company - Public,Radio,Media,7500000.0,TX
31,31,Crossfire Consulting Corporation,5.0,51 to 200 employees,0.0,Company - Private,Consulting,Business Services,7500000.0,NY
32,32,Russell Tobin & Associates,3.5,51 to 200 employees,2010.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,17500000.0,NY
33,33,Computer Resources of America,4.2,1 to 50 employees,1992.0,Company - Private,IT Services,Information Technology,250500000.0,NY
35,35,Nasdaq,3.6,1001 to 5000 employees,1971.0,Company - Public,Stock Exchanges,Finance,3500000000.0,NY
37,37,LanceSoft Inc,3.8,1001 to 5000 employees,2000.0,Company - Private,Staffing & Outsourcing,Business Services,300000000.0,VA
40,40,The Provident Bank,3.0,501 to 1000 employees,1839.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,300000000.0,NJ
41,41,JPMorgan Chase,3.9,10000+ employees,1799.0,Company - Public,Investment Banking & Asset Management,Finance,10000000000.0,NY
42,42,Barclays,3.8,10000+ employees,1690.0,Company - Public,Banks & Credit Unions,Finance,10000000000.0,United Kingdom
