State_id,City,State
0,New York,NY
2,Florham Park,NJ
3,Franklin Lakes,NJ
4,New York,NY
6,New York,NY
7,Jersey City,NJ
8,New York,NY
12,New York,NY
13,Brooklyn,NY
14,New York,NY
16,New York,NY
17,New York,NY
18,New York,NY
20,New York,NY
21,New York,NY
22,New York,NY
23,New York,NY
24,New York,NY
25,New York,NY
28,Jersey City,NJ
29,New York,NY
31,New York,NY
32,Jersey City,NJ
33,New York,NY
35,New York,NY
37,New York,NY
40,Iselin,NJ
41,New York,NY
42,Whippany,NJ
43,New York,NY
44,New York,NY
46,New York,NY
47,New York,NY
49,New York,NY
51,Hoboken,NJ
52,New York,NY
53,New York,NY
56,Weehawken,NJ
57,New York,NY
59,New York,NY
60,Moonachie,NJ
62,New York,NY
63,Franklin Lakes,NJ
66,Jersey City,NJ
67,Jersey City,NJ
68,New York,NY
70,New York,NY
71,New York,NY
72,Weehawken,NJ
73,New York,NY
75,Jersey City,NJ
77,New York,NY
79,New York,NY
81,New York,NY
82,New York,NY
83,New York,NY
84,New York,NY
86,New York,NY
88,New York,NY
91,New York,NY
93,New York,NY
94,New York,NY
96,New York,NY
97,Hoboken,NJ
98,New York,NY
99,New York,NY
101,New York,NY
102,New York,NY
103,New York,NY
104,New York,NY
105,Jersey City,NJ
106,New York,NY
108,Iselin,NJ
109,New York,NY
111,New York,NY
112,New York,NY
113,New York,NY
117,New York,NY
121,New York,NY
123,New York,NY
124,New York,NY
125,New York,NY
126,New York,NY
127,New York,NY
128,New York,NY
129,Newark,NJ
130,New York,NY
131,New York,NY
134,Newark,NJ
135,Jersey City,NJ
136,New York,NY
137,New York,NY
138,New York,NY
139,Hoboken,NJ
141,New York,NY
142,New York,NY
143,New York,NY
144,Weehawken,NJ
145,Rego Park,NY
147,New York,NY
151,New York,NY
152,New York,NY
153,Newark,NJ
155,Newark,NJ
156,New York,NY
162,New York,NY
163,New York,NY
168,New York,NY
169,New York,NY
170,New York,NY
172,New York,NY
173,New York,NY
174,Livingston,NJ
175,New York,NY
177,Brooklyn,NY
179,Brooklyn,NY
181,New York,NY
183,New York,NY
185,New York,NY
186,New York,NY
187,New York,NY
188,New York,NY
190,New York,NY
191,Secaucus,NJ
193,New York,NY
194,South Plainfield,NJ
196,Brooklyn,NY
201,Iselin,NJ
202,New York,NY
206,Newark,NJ
207,New York,NY
208,Brooklyn,NY
209,New York,NY
211,New York,NY
212,New York,NY
213,New York,NY
215,New York,NY
216,New York,NY
217,New York,NY
218,Secaucus,NJ
219,Ridgefield Park,NJ
220,New York,NY
221,Harrison,NJ
222,Madison,NJ
223,New York,NY
224,Lake Hiawatha,NJ
225,Woodbridge,NJ
226,Newark,NJ
227,Union,NJ
230,New York,NY
232,New York,NY
234,Summit,NJ
235,New York,NY
238,New York,NY
239,Whippany,NJ
241,New York,NY
242,New York,NY
243,New York,NY
245,Rutherford,NJ
246,New York,NY
250,New York,NY
251,New York,NY
252,New York,NY
253,New York,NY
254,New York,NY
256,New York,NY
259,Newark,NJ
263,New York,NY
264,New York,NY
265,New York,NY
267,New York,NY
268,New York,NY
269,New York,NY
270,Newark,NJ
273,New York,NY
274,New York,NY
278,New York,NY
280,New York,NY
281,New York,NY
282,New York,NY
284,New York,NY
286,New York,NY
288,New York,NY
290,New York,NY
291,New York,NY
292,New York,NY
293,New York,NY
294,Woodbridge,NJ
295,New York,NY
296,New York,NY
297,New York,NY
298,New York,NY
299,New York,NY
301,Florham Park,NJ
302,New York,NY
303,New York,NY
305,New York,NY
306,Woodbridge,NJ
307,New York,NY
308,New York,NY
309,New York,NY
311,New York,NY
312,New York,NY
313,New York,NY
314,New York,NY
315,New York,NY
316,New York,NY
317,New York,NY
318,New York,NY
320,Los Angeles,CA
321,Santa Monica,CA
322,El Segundo,CA
323,Glendale,CA
324,Long Beach,CA
326,Hollywood,CA
327,El Segundo,CA
328,El Segundo,CA
331,Los Angeles,CA
332,Los Angeles,CA
334,Los Angeles,CA
335,Los Angeles,CA
336,Los Angeles,CA
338,Inglewood,CA
339,El Segundo,CA
340,Los Angeles,CA
341,Calabasas,CA
344,Los Angeles,CA
345,Brea,CA
347,El Segundo,CA
352,Burbank,CA
354,Rosemead,CA
355,Los Angeles,CA
356,Los Angeles,CA
357,Long Beach,CA
358,Los Angeles,CA
362,Torrance,CA
363,Los Angeles,CA
365,Westminster,CA
368,Pasadena,CA
369,Torrance,CA
370,El Monte,CA
372,Los Angeles,CA
373,Torrance,CA
374,Monterey Park,CA
375,Hawthorne,CA
379,Burbank,CA
380,Los Angeles,CA
381,Brea,CA
382,Irwindale,CA
383,Signal Hill,CA
385,Los Angeles,CA
387,Los Angeles,CA
389,Culver City,CA
391,Los Angeles,CA
392,Los Angeles,CA
393,Torrance,CA
395,Los Angeles,CA
396,Los Angeles,CA
397,Redondo Beach,CA
399,Los Angeles,CA
401,Glendale,CA
402,City of Industry,CA
403,Commerce,CA
404,Culver City,CA
405,Burbank,CA
407,Torrance,CA
409,Rosemead,CA
411,Calabasas,CA
412,Pasadena,CA
414,Los Angeles,CA
415,Burbank,CA
416,Los Angeles,CA
418,Alhambra,CA
419,Los Angeles,CA
421,Los Angeles,CA
424,El Segundo,CA
425,Burbank,CA
426,Rosemead,CA
429,La Palma,CA
430,Calabasas,CA
431,Los Angeles,CA
432,Los Angeles,CA
433,Los Angeles,CA
434,Burbank,CA
435,Los Angeles,CA
439,El Segundo,CA
441,Los Angeles,CA
445,Signal Hill,CA
446,Cerritos,CA
448,Culver City,CA
452,Los Angeles,CA
454,Sylmar,CA
458,Los Angeles,CA
459,Burbank,CA
464,El Segundo,CA
465,La Mirada,CA
466,Wilmington,CA
468,Los Angeles,CA
470,Duarte,CA
476,Pasadena,CA
477,Los Angeles,CA
479,Long Beach,CA
481,Burbank,CA
482,Woodland Hills,CA
483,Los Angeles,CA
484,Los Angeles,CA
485,Culver City,CA
488,Los Angeles,CA
490,Hawthorne,CA
492,Los Angeles,CA
494,Brea,CA
496,El Segundo,CA
497,Alhambra,CA
498,Los Angeles,CA
500,Los Angeles,CA
501,Los Angeles,CA
502,Artesia,CA
505,Los Angeles,CA
508,Los Angeles,CA
509,Los Angeles,CA
510,Los Angeles,CA
511,Burbank,CA
512,Burbank,CA
513,Pasadena,CA
514,Burbank,CA
515,Los Angeles,CA
516,Los Angeles,CA
517,Los Angeles,CA
518,West Hills,CA
519,Los Angeles,CA
520,Woodland Hills,CA
521,Brea,CA
522,Los Angeles,CA
523,Seal Beach,CA
527,Los Angeles,CA
528,Los Angeles,CA
529,El Segundo,CA
531,Commerce,CA
532,North Hollywood,CA
533,Los Angeles,CA
534,West Hills,CA
537,Los Angeles,CA
538,Los Angeles,CA
543,Los Angeles,CA
546,Los Angeles,CA
548,Burbank,CA
549,Los Angeles,CA
552,Los Angeles,CA
553,Santa Monica,CA
555,Sun Valley,CA
556,Los Angeles,CA
557,Los Angeles,CA
558,Placentia,CA
559,El Segundo,CA
560,Los Angeles,CA
561,Rossmoor,CA
562,Glendale,CA
563,Los Angeles,CA
565,Los Angeles,CA
566,Los Angeles,CA
567,Los Angeles,CA
568,Los Angeles,CA
569,Los Angeles,CA
572,Glendale,CA
574,Burbank,CA
575,Los Angeles,CA
576,Los Angeles,CA
578,Cerritos,CA
580,Buena Park,CA
581,Los Angeles,CA
582,Glendale,CA
584,Los Angeles,CA
585,Duarte,CA
586,Los Angeles,CA
587,Los Angeles,CA
588,Los Angeles,CA
589,Los Angeles,CA
590,Burbank,CA
592,Los Angeles,CA
593,Santa Monica,CA
594,El Segundo,CA
595,Santa Monica,CA
601,Los Angeles,CA
603,Los Angeles,CA
605,Los Angeles,CA
606,Los Angeles,CA
607,Los Angeles,CA
609,Los Angeles,CA
612,Los Angeles,CA
614,Los Angeles,CA
615,Los Angeles,CA
619,Downey,CA
620,Los Angeles,CA
621,Brea,CA
623,Torrance,CA
625,El Segundo,CA
626,Santa Monica,CA
627,Culver City,CA
628,Culver City,CA
630,Los Angeles,CA
631,City of Industry,CA
633,Los Angeles,CA
636,Culver City,CA
637,Los Angeles,CA
638,Alhambra,CA
639,Los Angeles,CA
641,Los Angeles,CA
643,Long Beach,CA
645,El Segundo,CA
647,Chicago,IL
649,Chicago,IL
650,Chicago,IL
653,Chicago,IL
654,Chicago,IL
655,Chicago,IL
657,Chicago,IL
658,Chicago,IL
659,Chicago,IL
660,Chicago,IL
661,Chicago,IL
662,Chicago,IL
663,Chicago,IL
666,Chicago,IL
668,Chicago,IL
669,Chicago,IL
674,Chicago,IL
675,Chicago,IL
676,Chicago,IL
677,Chicago,IL
679,Chicago,IL
680,Chicago,IL
682,Chicago,IL
683,Chicago,IL
685,Downers Grove,IL
686,Chicago,IL
687,Chicago,IL
688,Chicago,IL
689,Chicago,IL
691,Chicago,IL
693,Chicago,IL
696,Northbrook,IL
697,Rosemont,IL
699,Chicago,IL
700,Chicago,IL
703,Chicago,IL
705,Chicago,IL
706,Chicago,IL
707,Chicago,IL
709,Oak Brook,IL
712,Chicago,IL
713,Chicago,IL
714,Deerfield,IL
715,Chicago,IL
717,Chicago,IL
718,Chicago,IL
720,Chicago,IL
721,Bloomingdale,IL
722,Chicago,IL
723,Chicago,IL
725,Chicago,IL
726,Chicago,IL
728,Chicago,IL
729,Chicago,IL
730,Chicago,IL
731,Chicago,IL
732,Chicago,IL
733,Chicago,IL
734,Chicago,IL
736,Chicago,IL
738,Chicago,IL
739,Alsip,IL
740,Chicago,IL
741,Chicago,IL
742,Chicago,IL
743,Oak Brook,IL
744,Chicago,IL
745,Deerfield,IL
746,Glenview,IL
747,Deerfield,IL
748,Chicago,IL
749,Chicago,IL
750,Chicago,IL
751,Chicago,IL
752,Oak Brook,IL
753,Chicago,IL
754,Chicago,IL
755,Chicago,IL
756,Chicago,IL
757,Chicago,IL
760,Bolingbrook,IL
762,Rosemont,IL
763,Chicago,IL
765,Chicago,IL
766,Chicago,IL
768,Chicago,IL
770,Chicago,IL
771,Oak Brook,IL
772,Chicago,IL
773,Chicago,IL
774,Chicago,IL
776,Chicago,IL
777,Chicago,IL
778,Chicago,IL
779,Chicago,IL
780,Elk Grove Village,IL
781,Chicago,IL
784,Chicago,IL
787,Chicago,IL
788,Chicago,IL
790,Chicago,IL
792,Oakbrook Terrace,IL
793,Chicago,IL
794,Chicago,IL
795,Deerfield,IL
797,Chicago,IL
798,Chicago,IL
799,Chicago,IL
800,Chicago,IL
802,Chicago,IL
803,Chicago,IL
804,Chicago,IL
807,Rolling Meadows,IL
808,Chicago,IL
809,Chicago,IL
810,Chicago,IL
812,Chicago,IL
813,Chicago,IL
814,Chicago,IL
815,Chicago,IL
816,Deerfield,IL
818,Chicago,IL
819,Elk Grove Village,IL
824,Chicago,IL
825,Chicago,IL
827,Highland Park,IL
828,Chicago,IL
829,Chicago,IL
830,Downers Grove,IL
833,Chicago,IL
834,Chicago,IL
835,Chicago,IL
836,Chicago,IL
839,Chicago,IL
841,Chicago,IL
842,Chicago,IL
843,Chicago,IL
844,Chicago,IL
845,Chicago,IL
846,Downers Grove,IL
849,Chicago,IL
851,Oak Brook,IL
853,Chicago,IL
856,Chicago,IL
859,Deerfield,IL
860,Chicago,IL
861,Chicago,IL
862,Chicago,IL
863,Chicago,IL
864,Des Plaines,IL
866,Chicago,IL
867,Chicago,IL
868,Downers Grove,IL
870,Oakbrook Terrace,IL
872,Rosemont,IL
873,Deerfield,IL
875,Chicago,IL
876,Deerfield,IL
877,Chicago,IL
878,Chicago,IL
880,Chicago,IL
881,Chicago,IL
882,Chicago,IL
883,Northbrook,IL
884,Chicago,IL
886,Lisle,IL
887,Downers Grove,IL
888,Chicago,IL
889,Chicago,IL
890,Chicago,IL
891,Chicago,IL
892,Chicago,IL
894,Chicago,IL
895,Chicago,IL
896,Chicago,IL
897,Chicago,IL
898,Chicago,IL
899,Chicago,IL
900,Chicago,IL
901,Lombard,IL
903,Chicago,IL
906,Chicago,IL
907,Chicago,IL
909,Chicago,IL
910,Oak Brook,IL
912,Chicago,IL
916,Chicago,IL
917,Chicago,IL
918,Chicago,IL
919,Chicago,IL
921,Chicago,IL
922,Chicago,IL
923,Chicago,IL
924,Chicago,IL
930,Chicago,IL
931,Chicago,IL
932,Chicago,IL
933,Chicago,IL
935,Chicago,IL
936,Chicago,IL
937,Chicago,IL
938,Chicago,IL
939,Stickney,IL
940,Broadview,IL
942,Chicago,IL
943,Chicago,IL
944,Chicago,IL
945,Chicago,IL
946,Chicago,IL
947,Chicago,IL
948,Chicago,IL
949,Chicago,IL
950,Deerfield,IL
953,Chicago,IL
955,Chicago,IL
959,Deerfield,IL
960,Chicago,IL
961,Chicago,IL
963,Chicago,IL
964,Oak Brook,IL
965,Chicago,IL
966,Chicago,IL
967,Chicago,IL
968,Chicago,IL
969,Chicago,IL
970,Chicago,IL
971,Chicago,IL
974,Park Ridge,IL
976,Houston,TX
979,Houston,TX
980,Houston,TX
981,Houston,TX
982,Houston,TX
984,Houston,TX
985,Houston,TX
986,Houston,TX
988,Houston,TX
989,Houston,TX
990,Houston,TX
992,Houston,TX
994,Houston,TX
995,Houston,TX
996,Houston,TX
997,Houston,TX
999,Houston,TX
1000,Houston,TX
1001,Houston,TX
1004,Houston,TX
1005,Houston,TX
1007,Houston,TX
1009,Houston,TX
1014,Houston,TX
1015,Houston,TX
1017,Houston,TX
1018,Houston,TX
1019,Houston,TX
1020,Houston,TX
1021,Houston,TX
1022,Houston,TX
1023,Houston,TX
1024,Houston,TX
1025,Houston,TX
1026,Houston,TX
1027,Houston,TX
1028,Houston,TX
1030,Houston,TX
1031,Houston,TX
1032,Houston,TX
1033,Houston,TX
1034,Houston,TX
1036,Houston,TX
1037,Houston,TX
1040,Houston,TX
1043,Houston,TX
1044,Houston,TX
1045,Houston,TX
1046,Houston,TX
1049,Houston,TX
1052,Houston,TX
1055,Houston,TX
1056,Houston,TX
1057,Houston,TX
1058,Houston,TX
1059,Houston,TX
1061,Houston,TX
1062,Houston,TX
1063,Houston,TX
1064,Stafford,TX
1065,Houston,TX
1066,Houston,TX
1070,Houston,TX
1071,Cypress,TX
1072,Houston,TX
1073,Houston,TX
1074,Houston,TX
1075,Houston,TX
1077,Houston,TX
1078,Houston,TX
1079,Houston,TX
1080,Houston,TX
1081,Houston,TX
1082,Houston,TX
1083,Houston,TX
1084,Houston,TX
1086,Houston,TX
1088,Houston,TX
1089,Houston,TX
1092,Houston,TX
1093,Houston,TX
1094,Houston,TX
1095,Houston,TX
1096,Houston,TX
1097,Spring,TX
1098,Houston,TX
1101,Houston,TX
1103,Houston,TX
1105,Houston,TX
1107,Houston,TX
1108,Houston,TX
1112,Houston,TX
1113,Houston,TX
1114,Houston,TX
1115,Houston,TX
1117,Houston,TX
1118,Houston,TX
1122,Houston,TX
1123,Houston,TX
1124,Houston,TX
1125,Houston,TX
1126,Houston,TX
1127,Houston,TX
1128,Houston,TX
1129,Houston,TX
1134,Houston,TX
1136,Houston,TX
1137,Houston,TX
1138,Houston,TX
1139,Houston,TX
1141,Houston,TX
1142,Houston,TX
1143,Houston,TX
1144,Houston,TX
1145,Houston,TX
1149,Houston,TX
1150,Houston,TX
1151,Houston,TX
1152,Pearland,TX
1154,Houston,TX
1155,Houston,TX
1156,Houston,TX
1157,Houston,TX
1159,Houston,TX
1160,Houston,TX
1161,Houston,TX
1162,Houston,TX
1163,Houston,TX
1165,Houston,TX
1166,Houston,TX
1167,Houston,TX
1168,Houston,TX
1169,Houston,TX
1170,Houston,TX
1173,Houston,TX
1175,Houston,TX
1176,Houston,TX
1177,Pearland,TX
1179,Houston,TX
1180,Houston,TX
1181,Houston,TX
1184,Houston,TX
1185,Houston,TX
1187,Houston,TX
1188,Houston,TX
1189,Houston,TX
1190,Houston,TX
1191,Houston,TX
1192,Houston,TX
1193,Houston,TX
1194,Houston,TX
1195,Houston,TX
1197,Houston,TX
1198,Houston,TX
1199,Houston,TX
1200,Houston,TX
1201,Houston,TX
1203,Houston,TX
1204,Houston,TX
1205,Houston,TX
1206,Houston,TX
1208,Houston,TX
1209,Houston,TX
1210,Houston,TX
1212,Houston,TX
1215,Houston,TX
1216,Houston,TX
1219,Houston,TX
1220,Houston,TX
1221,Houston,TX
1222,Houston,TX
1223,Houston,TX
1224,Houston,TX
1226,Houston,TX
1227,Houston,TX
1229,Houston,TX
1230,Houston,TX
1231,Houston,TX
1232,Houston,TX
1233,Houston,TX
1234,Houston,TX
1237,Houston,TX
1239,Houston,TX
1240,Houston,TX
1241,Houston,TX
1242,Houston,TX
1243,Houston,TX
1244,Houston,TX
1246,Houston,TX
1247,Houston,TX
1248,Houston,TX
1252,Houston,TX
1253,Houston,TX
1256,Houston,TX
1257,Houston,TX
1258,Houston,TX
1259,Houston,TX
1260,Houston,TX
1266,Houston,TX
1268,Houston,TX
1269,Houston,TX
1270,Houston,TX
1271,Houston,TX
1273,Houston,TX
1274,Houston,TX
1275,Houston,TX
1276,Houston,TX
1277,Houston,TX
1279,Houston,TX
1281,Houston,TX
1282,Houston,TX
1283,Houston,TX
1284,Houston,TX
1285,Houston,TX
1289,Houston,TX
1292,Houston,TX
1293,Houston,TX
1294,Houston,TX
1297,Houston,TX
1298,Houston,TX
1300,Houston,TX
1302,Houston,TX
1303,Houston,TX
1305,Houston,TX
1306,Houston,TX
1308,Houston,TX
1309,Houston,TX
1310,Houston,TX
1311,Houston,TX
1312,Houston,TX
1315,Houston,TX
1317,Houston,TX
1318,Houston,TX
1319,Houston,TX
1321,Houston,TX
1322,Houston,TX
1323,Scottsdale,AZ
1324,Scottsdale,AZ
1325,Scottsdale,AZ
1326,Scottsdale,AZ
1327,Phoenix,AZ
1330,Phoenix,AZ
1331,Tempe,AZ
1332,Phoenix,AZ
1333,Tempe,AZ
1334,Phoenix,AZ
1335,Phoenix,AZ
1336,Scottsdale,AZ
1337,Phoenix,AZ
1338,Tempe,AZ
1339,Phoenix,AZ
1341,Scottsdale,AZ
1342,Tempe,AZ
1343,Tempe,AZ
1344,Glendale,AZ
1345,Phoenix,AZ
1346,Tempe,AZ
1347,Phoenix,AZ
1348,Phoenix,AZ
1349,Tempe,AZ
1350,Tempe,AZ
1352,Phoenix,AZ
1353,Tempe,AZ
1354,Phoenix,AZ
1355,Tempe,AZ
1356,Phoenix,AZ
1357,Tempe,AZ
1358,Phoenix,AZ
1359,Scottsdale,AZ
1360,Tempe,AZ
1361,Phoenix,AZ
1363,Tempe,AZ
1364,Phoenix,AZ
1365,Phoenix,AZ
1367,Scottsdale,AZ
1371,Tempe,AZ
1372,Phoenix,AZ
1373,Tempe,AZ
1374,Glendale,AZ
1375,Phoenix,AZ
1376,Tempe,AZ
1377,Phoenix,AZ
1378,Phoenix,AZ
1379,Phoenix,AZ
1380,Phoenix,AZ
1382,Scottsdale,AZ
1384,Scottsdale,AZ
1394,Phoenix,AZ
1395,Chandler,AZ
1398,Scottsdale,AZ
1399,Phoenix,AZ
1400,Tempe,AZ
1401,Scottsdale,AZ
1402,Tempe,AZ
1403,Phoenix,AZ
1405,Phoenix,AZ
1406,Phoenix,AZ
1407,Phoenix,AZ
1408,Phoenix,AZ
1409,Phoenix,AZ
1411,Phoenix,AZ
1412,Tempe,AZ
1414,Tempe,AZ
1415,Phoenix,AZ
1416,Phoenix,AZ
1417,Phoenix,AZ
1418,Phoenix,AZ
1419,Phoenix,AZ
1420,Scottsdale,AZ
1422,Chandler,AZ
1427,Scottsdale,AZ
1428,Mesa,AZ
1430,Tempe,AZ
1431,Phoenix,AZ
1432,Phoenix,AZ
1433,Phoenix,AZ
1436,Scottsdale,AZ
1437,Phoenix,AZ
1438,Phoenix,AZ
1439,Phoenix,AZ
1441,Phoenix,AZ
1442,Phoenix,AZ
1443,Tempe,AZ
1444,Phoenix,AZ
1445,Phoenix,AZ
1446,Scottsdale,AZ
1447,Phoenix,AZ
1450,Tempe,AZ
1451,Phoenix,AZ
1452,Phoenix,AZ
1454,DC Ranch,AZ
1455,Scottsdale,AZ
1456,Tempe,AZ
1457,Phoenix,AZ
1458,Phoenix,AZ
1460,Phoenix,AZ
1462,Phoenix,AZ
1463,Phoenix,AZ
1464,Scottsdale,AZ
1465,Phoenix,AZ
1468,Phoenix,AZ
1470,Phoenix,AZ
1471,Phoenix,AZ
1472,Phoenix,AZ
1473,Phoenix,AZ
1474,Phoenix,AZ
1475,Phoenix,AZ
1477,Phoenix,AZ
1478,Phoenix,AZ
1481,Phoenix,AZ
1482,Phoenix,AZ
1483,Phoenix,AZ
1484,Tempe,AZ
1485,Phoenix,AZ
1486,Tempe,AZ
1487,Phoenix,AZ
1490,Phoenix,AZ
1491,Phoenix,AZ
1492,Tempe,AZ
1493,Phoenix,AZ
1494,Phoenix,AZ
1495,Tempe,AZ
1496,Phoenix,AZ
1497,Scottsdale,AZ
